Model_Name,SMAPE,x,Dataset
S2SD Moving Win.,24,v,W
S2SD Moving Win.,30,v,W
S2SD Non Moving Win.,36,v,W
S2SD Non Moving Win.,13,v,W
S2SD Non Moving Win.,21,v,W
S2SD Moving Win.,27,v,W
S2SD Moving Win.,18,v,W
S2SD Moving Win.,15,v,W
S2SD Non Moving Win.,19,v,W
S2SD Non Moving Win.,14,v,W
S2SD Non Moving Win.,16,v,W
Stacked,11,v,W
Stacked,7,v,W
Stacked,4,v,W
Stacked,8,v,W
Stacked,9,v,W
Stacked,6,v,W
Stacked,3,v,W
Stacked,1,v,W
Stacked,2,v,W
Seq2Seq,38,v,M3
Seq2Seq,29,v,M3
Seq2Seq,31,v,M3
Seq2Seq,33,v,M3
Seq2Seq,35,v,M3
Seq2Seq,26,v,M3
Seq2Seq,37,v,M3
Seq2Seq,32,v,M3
Seq2Seq,30,v,M3
S2SD Moving Win.,6,v,M3
S2SD Moving Win.,22,v,M3
S2SD Moving Win.,16,v,M3
S2SD Non Moving Win.,18,v,M3
S2SD Non Moving Win.,24,v,M3
S2SD Non Moving Win.,11,v,M3
S2SD Moving Win.,9,v,M3
S2SD Moving Win.,20,v,M3
S2SD Moving Win.,12,v,M3
S2SD Non Moving Win.,23,v,M3
S2SD Non Moving Win.,21,v,M3
S2SD Non Moving Win.,13,v,M3
S2SD Moving Win.,17,v,M3
S2SD Moving Win.,36,v,M3
S2SD Moving Win.,19,v,M3
S2SD Non Moving Win.,28,v,M3
S2SD Non Moving Win.,25,v,M3
S2SD Non Moving Win.,27,v,M3
Stacked,7,v,M3
Stacked,15,v,M3
Stacked,8,v,M3
Stacked,1,v,M3
Stacked,3,v,M3
Stacked,5,v,M3
Stacked,10,v,M3
Stacked,34,v,M3
Stacked,14,v,M3
Seq2Seq,27,v,N
Seq2Seq,32,v,N
Seq2Seq,22,v,N
Seq2Seq,28,v,N
Seq2Seq,35,v,N
Seq2Seq,15,v,N
Seq2Seq,34,v,N
Seq2Seq,31,v,N
Seq2Seq,33,v,N
S2SD Moving Win.,23,v,N
S2SD Moving Win.,12,v,N
S2SD Moving Win.,29,v,N
S2SD Non Moving Win.,23,v,N
S2SD Non Moving Win.,16,v,N
S2SD Non Moving Win.,11,v,N
S2SD Moving Win.,23,v,N
S2SD Moving Win.,21,v,N
S2SD Moving Win.,13,v,N
S2SD Non Moving Win.,23,v,N
S2SD Non Moving Win.,14,v,N
S2SD Non Moving Win.,30,v,N
S2SD Moving Win.,19,v,N
S2SD Moving Win.,37,v,N
S2SD Moving Win.,17,v,N
S2SD Non Moving Win.,20,v,N
S2SD Non Moving Win.,36,v,N
S2SD Non Moving Win.,18,v,N
Stacked,4,v,N
Stacked,5,v,N
Stacked,7,v,N
Stacked,6,v,N
Stacked,1,v,N
Stacked,2,v,N
Stacked,10,v,N
Stacked,9,v,N
Stacked,8,v,N
